,predict,relation
16105,PersonX gets to know PersonY == PersonX invites PersonY to join their group of friends.,oEffect
16106,PersonX feels like talking == PersonX wants to open up about their thoughts and emotions.,xWant
16107,PersonX eats fresh popcorn with melted butter.,xNeed
16108,PersonX gives up and assumes it is not going to happen.,xWant
16109,PersonX starts eating more convenience foods.,xEffect
16110,PersonY thanks PersonX and rewards PersonX.,oWant
16111,PersonX saves PersonY's struggling business.,xWant
16112,PersonX starts a heated argument.,xIntent
16113,PersonX makes careless mistakes.,xAttr
16114,PersonX continues swimming in the pool.,xReact
16115,PersonX waits at the bus stop.,xNeed
16116,Person X returns the favor.,xNeed
16117,"PersonY smiles at PersonX, PersonY blushes.",oEffect
16118,PersonX saves the city.,xAttr
16119,PersonX visits their grandparents last week.,xAttr
16120,to work overtime at the office.,xNeed
16121,PersonX works for PersonY.,xNeed
16122,PersonX buys a new bike.,xReact
16123,PersonY empathizes with PersonX.,oReact
16124,PersonX bakes a delicious cake.,xWant
16125,PersonX gets a job to support themselves.,xIntent
16126,PersonX sees their family.,xIntent
16127,the debate club.,xIntent
16128,eating a delicious meal.,xWant
16129,PersonX feels proud and confident.,xReact
16130,PersonY joins PersonX's army.,oReact
16131,PersonX never knew the importance of recycling.,xEffect
16132,PersonX spends a day at the beach.,xReact
16133,PersonX explores the local hiking trails.,xAttr
16134,meeting,xWant
16135,PersonY is cautious around PersonX.,xEffect
16136,PersonX is every man's wow.,xWant
16137,PersonX calls an ambulance.,xWant
16138,PersonX opens the door for PersonY.,xNeed
16139,PersonY reads the recipe.,oWant
16140,"PersonX kills PersonY's brother == To avenge a previous betrayal, PersonX commits the murder.",xNeed
16141,PersonX works overtime.,xIntent
16142,PersonX helps PersonX's grandmother with her groceries.,xAttr
16143,PersonY thinks about what they were told.,oWant
16144,PersonX plays tricks == PersonX is known for being shrewd and witty.,xAttr
16145,PersonX prays for good health.,xWant
16146,PersonX seeks comfort from their friend.,xWant
16147,PersonX holds fast the tradition.,xWant
16148,PersonX fills PersonY's tires with air.,oWant
16149,PersonX's mom helps PersonX.,oEffect
16150,PersonX apologizes to their friend.,xAttr
16151,PersonX drives PersonY home from the bar.,oEffect
16152,PersonX's friends feel grateful for the quality time spent together.,oReact
16153,PersonY feels invaded.,oReact
16154,PersonX drives to a nearby restaurant.,xReact
16155,PersonY feels grateful for the support.,xReact
16156,PersonX helps PersonY with their work.,xReact
16157,PersonX and PersonY have a picnic together.,oReact
16158,"PersonX's friends thank PersonX, gain freedom, and happiness.",oEffect
16159,keep the animals calm.,xWant
16160,PersonX takes PersonX's hat off to cool down.,xReact
16161,PersonX is happy to see PersonY's cause succeed.,xReact
16162,PersonX gets a lazy reputation.,oEffect
16163,He studies all night.,xNeed
16164,PersonX is often mistaken for being younger than their actual age.,xReact
16165,PersonX gets PersonX's exam back == PersonX reviews the answers and compares them to the grading key.,xWant
16166,PersonY finds their game progress saved from where they left off on their computer.,xReact
16167,PersonX enrolls in a similar course.,xAttr
16168,PersonX puts the plan in motion.,xAttr
16169,PersonY thanks PersonX for the warning.,oReact
16170,PersonX waters PersonY's plants.,xAttr
16171,PersonX organizes their workspace.,xAttr
16172,PersonX falls asleep feeling happy and loved.,oReact
16173,PersonX puts the plan in motion.,oReact
16174,PersonX's heart rate increases.,oReact
16175,PersonX meets with a lawyer.,xNeed
16176,PersonX is feeling sad == Go for a walk to clear up his head.,xWant
16177,PersonY finds a note in their pocket.,xEffect
16178,PersonX performs one task.,xAttr
16179,PersonX reads a new book.,xWant
16180,PersonX picks up a glass of water.,xIntent
16181,PersonX supports PersonX's position == PersonX presents strong evidence to defend their stance.,xWant
16182,PersonX follows the rules == PersonX continues to adhere to the guidelines.,xEffect
16183,PersonX assists the police in identifying the criminal.,xEffect
16184,PersonX trips and falls.,xAttr
16185,PersonX watches a movie and feels entertained.,xAttr
16186,PersonX twists their ankle.,xEffect
16187,PersonX achieves success against all odds.,xIntent
16188,PersonX plays truth == tells an embarrassing story,xEffect
16189,PersonX talks about the event.,xWant
16190,PersonX receives a promotion.,xEffect
16191,PersonX eats a healthy breakfast.,xIntent
16192,The kids give PersonX a thank you note.,oReact
16193,PersonX buys party decorations.,xIntent
16194,PersonX sees admiration in PersonY's eyes.,xEffect
16195,PersonX looks for PersonX's friend.,oEffect
16196,PersonY agrees to join PersonZ to go to the movies.,oWant
16197,PersonX loves eating the pizza.,xWant
16198,PersonX runs as fast as they can.,xAttr
16199,PersonX purchases a new book online == eagerly awaits for the delivery.,xWant
16200,PersonX decides to call PersonY.,xWant
16201,PersonX gets some sleep after a long day at work.,xEffect
16202,PersonX protects the house from damage.,xNeed
16203,PersonX eventually left the party.,oEffect
16204,"PersonX becomes a millionaire == has a secure life, retires",xEffect
16205,PersonX wears a t-shirt.,xIntent
16206,PersonY becomes a best-selling author.,oEffect
16207,PersonX wears a mediator hat.,xAttr
16208,PersonX takes medicine.,xWant
16209,to improve people's lives,xWant
16210,PersonX asks permission from his parents to keep playing.,oWant
16211,PersonX packs a bag and forgets to include their wallet.,xEffect
16212,PersonX finds their lost wallet just in time,xReact
16213,PersonX comes up with a creative solution.,xAttr
16214,PersonX encourages PersonY to confront their fears.,oEffect
16215,PersonX throws a party.,xWant
16216,PersonX apologizes to PersonY.,xWant
16217,PersonY is looking for a new roommate.,oReact
16218,PersonX realizes they need to start over.,xEffect
16219,PersonX meets new people.,xWant
16220,PersonX goes to the hospital.,xWant
16221,PersonX falls asleep.,xWant
16222,PersonX agrees to meet at the coffee shop.,xIntent
16223,PersonX wants to see the kitten play with its toys.,xWant
16224,PersonY turns around to see what PersonX is staring at.,oWant
16225,PersonX spends quality time with their father.,xNeed
16226,"PersonX loses balance from the push, gets stressed and yells at PersonY.",oEffect
16227,PersonX hears a strange noise.,xEffect
16228,PersonX posts the photo because they want to share their new hairstyle.,xEffect
16229,PersonX calls the restaurant.,xNeed
16230,PersonX presses PersonX's temples together.,xWant
16231,groceries.,xWant
16232,PersonY feels proud.,xIntent
16233,PersonX eats soft foods like ice cream.,xReact
16234,personX makes a thesis,xNeed
16235,PersonY takes PersonX's advice and volunteers at a local shelter.,xIntent
16236,PersonX decides to give PersonY a warning and lets them go.,xWant
16237,PersonX starts swimming.,xWant
16238,PersonY is happy to see PersonX enjoying the new car.,oReact
16239,PersonX obeys and listens to PersonY.,oWant
16240,PersonX gets married.,oReact
16241,PersonX starts working on the group project.,xAttr
16242,PersonX follows up with PersonY.,oWant
16243,PersonX asks PersonY for directions.,xNeed
16244,PersonX gets a traffic ticket.,xEffect
16245,PersonX finishes a big project at work and meets the deadline.,xEffect
16246,PersonX talks to the local government about PersonY's families.,xWant
16247,PersonX drinks a lot of water.,xNeed
16248,PersonY accepts PersonX's offer.,xAttr
16249,PersonY thanks PersonX.,oWant
16250,PersonX arrives at the store.,xNeed
16251,PersonY feels grateful.,xEffect
16252,PersonX's turn finally arrives.,xReact
16253,PersonX kills PersonX's children == to run away from the scene.,xWant
16254,PersonX protects every dog.,xIntent
16255,PersonY thanks PersonX for their generosity.,xAttr
16256,PersonX donates to charity.,xReact
16257,PersonX serves another client.,xWant
16258,PersonX becomes a skilled professional.,xAttr
16259,a break.,xReact
16260,PersonX gives PersonY some money == for lunch.,xWant
16261,PersonY gets interviewed for a job.,xReact
16262,PersonX goes for a walk in the woods.,xEffect
16263,PersonX sees a cake on PersonY's face.,xReact
16264,PersonY feels grateful.,oReact
16265,"PersonX brings a new project to bear == successful, accomplished",xReact
16266,"PersonX cheers and celebrates.
",xReact
16267,PersonX drives their new car for the first time.,xWant
16268,PersonX excels in their role.,xAttr
16269,PersonX is commuting to the office.,xIntent
16270,Person Y now knows a secret.,xAttr
16271,"PersonX knows the subject better == gains wisdom, is respected more",xEffect
16272,PersonX makes a prayer.,xAttr
16273,PersonX plays a game == PersonX wins the game.,oWant
16274,PersonX finds out that PersonY's father is a famous actor.,oReact
16275,PersonX throws a surprise party for PersonY.,xReact
16276,PersonY is happy.,oReact
16277,PersonY feels loved and appreciated.,xAttr
16278,PersonX yells in anger.,xNeed
16279,PersonX plays practical jokes to create laughter.,xNeed
16280,PersonX goes hiking with my dad.,xReact
16281,PersonX sends a mass email.,xIntent
16282,PersonX leans in for a kiss.,xAttr
16283,PersonX invites their best friend to a movie.,oReact
16284,PersonX says PersonY's name to get their attention.,xIntent
16285,PersonX prepares a detailed plan for the project.,xAttr
16286,PersonX decides on a meeting spot.,xNeed
16287,PersonX joins the track team.,xAttr
16288,Person X drives away to escape the storm.,xNeed
16289,PersonY feels shocked and sad.,oReact
16290,PersonX helps PersonY with their homework.,xAttr
16291,PersonX calmly gathers all necessary supplies for PersonY's emergency.,xReact
16292,PersonX makes it back home and relaxes on the couch.,xWant
16293,PersonX sends PersonY a thoughtful message.,xAttr
16294,PersonX finishes studying on time.,xIntent
16295,PersonX takes the bus.,xIntent
16296,PersonY eats brunch.,oWant
16297,911 and emergency services for help,xReact
16298,PersonX asks me for help.,xNeed
16299,PersonX spills water == PersonX is startled.,xReact
16300,PersonX takes their dog to the vet for a routine check-up.,xIntent
16301,PersonX cancels PersonY's trip because they found a better deal.,xReact
16302,PersonY turns around and glares.,xEffect
16303,PersonX misses the train.,xEffect
16304,PersonX helps PersonY break into the car.,xNeed
16305,PersonX picks out a sweater.,xNeed
16306,a nap,xAttr
16307,PersonY is grateful for PersonX's help.,oWant
16308,"PersonX climbs the walls. 
EventB: PersonX reaches the top and takes in the view.",xWant
16309,"PersonX spends the night alone == lonely, he feels sad",xReact
16310,PersonX rides a bicycle to school.,xNeed
16311,PersonX starts dancing.,xAttr
16312,PersonX raises PersonX's fist in protest.,oReact
16313,PersonX shares the secret.,xEffect
16314,PersonX helps PersonY solve a problem.,xAttr
16315,PersonX washes PersonY's disciples feet.,xIntent
16316,PersonX gets lots of gifts.,xEffect
16317,PersonX always thought twice before making a decision.,xReact
16318,PersonY is shocked.,oReact
16319,PersonX feels full and satisfied.,xIntent
16320,PersonX turns on the TV.,xNeed
16321,PersonX impresses everyone with their dance moves.,xAttr
16322,PersonX introduces PersonY to his wife.,xReact
16323,PersonY opens their eyes.,xWant
16324,PersonX devises a plan.,xNeed
16325,PersonX buys the new game == enjoys playing it with friends.,xNeed
16326,PersonX donates to a charity.,xIntent
16327,,xNeed
16328,PersonX gains valuable insights.,oReact
16329,PersonX takes out a bottle of water.,xNeed
16330,PersonY conducts interviews.,xNeed
16331,PersonX pays back PersonY with a smile.,xEffect
16332,PersonX hosts a party at PersonY's house.,oReact
16333,PersonY wakes up.,xWant
16334,PersonX uses manipulation to control the situation and achieve their desired outcome.,xWant
16335,PersonX celebrates with their teammates.,oReact
16336,PersonX suffers a medical emergency.,xReact
16337,PersonX finds PersonY's dog.,xWant
16338,PersonY holds PersonX's hand for life.,xReact
16339,PersonX scratches PersonY's car.,xAttr
16340,PersonX helps PersonY with their homework.,xAttr
16341,PersonX goes to a therapist.,xAttr
16342,"PersonX eats the warm, delicious waffles.",xReact
16343,PersonX gets another job.,xEffect
16344,PersonX protects their coworker from discrimination == their coworker feels supported.,oEffect
16345,PersonX reminds PersonY of their appointment.,xIntent
16346,PersonX turns PersonY away because she is angry.,xAttr
16347,PersonX gets PersonX's phone away.,xAttr
16348,PersonX receives job offers.,xIntent
16349,PersonY thanks PersonX and waters the tree.,oWant
16350,PersonX picks up the broken pieces of the lance.,xNeed
16351,PersonX discovers a lost wallet.,xIntent
16352,The winner receives a trophy.,xReact
16353,PersonX receives a confirmation email.,xReact
16354,PersonX earns extra cash.,xIntent
16355,PersonX rushes his son to clean up.,xIntent
16356,PersonX smiles at everyone.,xIntent
16357,PersonX creates a playlist with PersonY's favorite songs.,xAttr
16358,PersonY is able to save money for their future.,xWant
16359,PersonX divides the class by the number of students.,xIntent
16360,PersonX takes PersonY out on a date == PersonX feels a bit anxious.,xReact
16361,PersonX reaches the other side.,xEffect
16362,PersonX shares their food with others.,xWant
16363,PersonY sends a thank you card to PersonX.,oReact
16364,PersonX loves one's child.,xWant
16365,PersonX laughs.,xReact
16366,PersonX's hands are soaked in soapy water.,xNeed
16367,PersonY takes the microphone and thanks PersonX.,oWant
16368,PersonX wants to hear the joke again.,xWant
16369,PersonX successfully completes a triple axel.,xEffect
16370,PersonX turns every thought into a new project.,xEffect
16371,PersonX goes to the Animal shelter to find a new pet.,xWant
16372,PersonX persuades PersonY to accept a job offer with the upper hand.,xReact
16373,PersonY feels gratitude.,oReact
16374,PersonX completes the project.,xReact
16375,PersonX gives PersonY a second chance.,oReact
16376,PersonX arrives at their destination.,xReact
16377,PersonX tries a new hobby.,xAttr
16378,PersonX is asked to see her licence.,xEffect
16379,PersonX meets the organization's manager.,xWant
16380,PersonX makes money == PersonX buys a new car.,xWant
16381,PersonX finds a hidden treasure.,xIntent
16382,PersonX plays PersonY a crucial role in determining the project direction.,xWant
16383,PersonX puts on a warm coat.,xWant
16384,PersonX takes the boat == PersonX wants to go fishing.,xNeed
16385,PersonX hears a loud noise.,xAttr
16386,PersonX changes the channel.,xWant
16387,PersonX gets hurt.,xEffect
16388,PersonX sees a lost dog.,xWant
16389,PersonX pieces a plan together.,xWant
16390,PersonY feels very insecure.,oEffect
16391,PersonX gets dressed.,xNeed
16392,PersonX receives a job offer.,xReact
16393,PersonX increases their savings by year.,xAttr
16394,PersonX is practicing parallel parking.,oReact
16395,PersonX goes to ask about PersonY's wife.,xAttr
16396,PersonX needs to take a bath.,xAttr
16397,PersonY blushes.,oEffect
16398,"Person Y responds by saying ""Watch where you're rolling next time!""",oEffect
16399,PersonX opens the door.,oWant
16400,PersonX becomes a manager later.,xAttr
16401,PersonX loses their voice.,xEffect
16402,PersonX completes a difficult level.,xReact
16403,PersonX talks to PersonY.,xReact
16404,PersonX finally saved enough money to buy their dream car.,xWant
16405,PersonX confidently makes a decision.,xEffect
16406,PersonX surprises PersonY with a trip.,oReact
16407,PersonX gets paid.,xEffect
16408,PersonX arrives at their destination.,xEffect
16409,PersonX calls PersonY to confirm the appointment.,xAttr
16410,PersonX writes a response letter.,oWant
16411,PersonY reads harder books.,oWant
16412,PersonX has his hands put in a sling.,xEffect
16413,PersonX always listened to his friend's problems.,xIntent
16414,PersonX studies diligently.,xNeed
16415,PersonY stops because PersonX is traffic police and knows Y.,xNeed
16416,PersonX is eating a delicious meal.,xReact
16417,PersonX distinguishes the cheetah from animals.,xAttr
16418,He felt uneasy.,oEffect
16419,PersonY thanks PersonX and asks if they need help with anything.,oWant
16420,PersonX transmutes lead into gold.,xIntent
16421,PersonX catches a bus.,xAttr
16422,PersonX also found a job.,xWant
16423,PersonX smiles with appreciation.,xReact
16424,PersonX cheers loudly for PersonY.,xAttr
16425,PersonX gives PersonX's mom a hug.,xNeed
16426,PersonX arrives at work late.,xEffect
16427,PersonY gets upset and walks away.,xReact
16428,PersonX decides to take a leap of faith.,xAttr
16429,PersonX helps PersonY with their tasks.,oReact
16430,Person X thanks Person Y and puts on the glasses.,oWant
16431,Daughter hugs PersonX.,oReact
16432,PersonX goes to investigate the sound.,xWant
16433,PersonX discovers the power outage.,xNeed
16434,PersonX is asked to speak up.,xEffect
16435,PersonX eats breakfast.,xIntent
16436,PersonX decides to change his ways.,xIntent
16437,PersonY confronts PersonX about their behavior.,xAttr
16438,PersonX solves the problem and celebrates with friends.,xEffect
16439,donates old clothes,xEffect
16440,PersonX receives a warm hug from their father.,oWant
16441,PersonY feels appreciated.,oReact
16442,PersonX sees a beautiful sunset.,xAttr
16443,The man provides a detailed explanation.,xAttr
16444,PersonX considers the potential risks involved to do a perfect job and avoid losses.,xWant
16445,PersonY makes a plan.,oWant
16446,PersonX reads positive feedback on their story.,xReact
16447,PersonX keeps track of the number of sales.,xIntent
16448,PersonX gives PersonY a tissue.,xIntent
16449,PersonX finds food.,xIntent
16450,PersonX wakes up early and becomes well rested.,xEffect
16451,PersonX reaches the airport in time.,xNeed
16452,Person Y decides to go home.,xNeed
16453,PersonX finally sees the movie they have been waiting for.,xNeed
16454,PersonX gets better at playing the piano.,xAttr
16455,PersonX loses their job.,xAttr
16456,PersonX signs the contract.,xWant
16457,PersonX buys cute folders.,xWant
16458,PersonX does chores around the house.,xIntent
16459,PersonX goes shopping for a new shirt.,xAttr
16460,PersonY feels appreciated.,oWant
16461,PersonY accepts the drink and they have a conversation.,xWant
16462,PersonX fills PersonY's glass because they want to show kindness.,xReact
16463,Everyone sees PersonX looking normal.,xIntent
16464,PersonX goes and gets groceries.,xAttr
16465,PersonX eats a sandwich.,xIntent
16466,PersonX knows PersonY's stuff == PersonX wants to impress PersonY.,xWant
16467,PersonX remembers every detail and gets complimented.,xEffect
16468,PersonX takes care of children to ensure their well-being.,xWant
16469,PersonX surprises PersonY with a bouquet of flowers.,xAttr
16470,PersonX buys dinner.,xEffect
16471,PersonX takes another path.,xEffect
16472,A hidden painting.,xAttr
16473,"PersonX manages PersonX's team in PersonY's way == leader, helpful",xAttr
16474,PersonX born this baby in the city.,xIntent
16475,PersonX reaches the store.,xWant
16476,PersonX see PersonY smiling.,xReact
16477,PersonX takes a breath == personX calms down and relaxes.,xEffect
16478,PersonY tells PersonX their favorite movie.,xNeed
16479,PersonY feels grateful for PersonX's generosity.,oReact
16480,PersonX decides to purchase the item.,xIntent
16481,PersonX gets a bloody nose == becomes shock.,xEffect
16482,PersonX adopts the rescued cat.,xAttr
16483,PersonX shares PersonY article.,xAttr
16484,PersonY gets wet.,oEffect
16485,Book about space.,xNeed
16486,PersonX makes a shopping list.,xWant
16487,PersonY realizes PersonX doesn't like them.,xIntent
16488,PersonX is hungry.,xWant
16489,PersonX explores the new city.,xIntent
16490,PersonX lays down on the couch.,xWant
16491,PersonX kisses PersonY.,oEffect
16492,PersonY seeks an apology.,oWant
16493,PersonX's friends thank PersonX for the ride.,xReact
16494,PersonX retrieves a weapon.,xEffect
16495,PersonX strays from PersonY's course.,xEffect
16496,PersonX builds a treehouse.,xAttr
16497,PersonX fights off the local goons.,xIntent
16498,PersonX lands on the ground == PersonX hurts their ankle.,xIntent
16499,PersonX sells products to the public because they want to make money.,xWant
16500,to ask PersonX questions,oWant
16501,PersonX studies every day.,xNeed
16502,PersonX plays a song on the guitar.,xEffect
16503,PersonX expresses PersonX's feelings openly == joy and relief,xReact
16504,PersonX puts a new plant in a pot.,xNeed
16505,"PersonX tells PersonY what PersonZ wanted them to know, to help.",xIntent
16506,PersonX's breath smells bad.,xReact
16507,PersonX starts dating == PersonX blushes.,xEffect
16508,PersonX goes to PersonY's house.,xNeed
16509,PersonX attends PersonY's funeral == person X cries.,xEffect
16510,PersonX takes a painkiller.,xReact
16511,PersonY gives PersonX a tip.,xEffect
16512,PersonX apologizes profusely.,xReact
16513,PersonX plays the song on the guitar.,xWant
16514,___ a toast in celebration.,oWant
16515,PersonX lost their keys and needs someone to help them search for it.,xReact
16516,PersonX fixes the car.,xEffect
16517,PersonX comforts PersonY.,oReact
16518,treatment options,xNeed
16519,PersonX purchases a new house.,xReact
16520,PersonX looks for help.,oWant
16521,PersonX takes a nap.,xReact
16522,PersonX drives a car cautiously.,xReact
16523,PersonX gives a speech.,xNeed
16524,PersonX achieves success in their program.,xAttr
16525,PersonX puts a vase on the table.,xReact
16526,to put the suspect away for a long time,xWant
16527,PersonX tries PersonX's luck elsewhere.,xAttr
16528,PersonX catches the falling baby just in time.,xEffect
16529,PersonX finishes the race.,xAttr
16530,PersonX watches a horror film.,xEffect
16531,PersonX feels cold.,xWant
16532,PersonX goes to the beach for the day.,xWant
16533,"PersonX leaves notes everywhere == to remember important things, to organize their thoughts",xWant
16534,PersonX is cautious about potential intruders.,xAttr
16535,PersonX applies to colleges == they receive acceptance letters.,xEffect
16536,PersonX marries PersonY.,oWant
16537,PersonX waits a little longer.,xNeed
16538,PersonX eats lobster == PersonX goes to a seafood restaurant.,xNeed
16539,PersonX always looked for the closest exit.,xWant
16540,PersonX becomes too much == X cries in frustration.,xEffect
16541,PersonX sells their first product.,xWant
16542,PersonX returns the lost wallet.,xAttr
16543,PersonX also ate a delicious dessert.,xAttr
16544,PersonX and PersonY laugh and have fun together.,xWant
16545,PersonY's mother appreciates the gift.,oReact
16546,PersonX brings the cat.,xIntent
16547,PersonY hits PersonX.,xEffect
16548,PersonX reminiscences about old memories.,xWant
16549,PersonX buys his own car.,xIntent
16550,PersonX improves drastically leads to PersonX continuing to keep working and being persistent.,xNeed
16551,PersonX gets yelled at.,xEffect
16552,PersonX collects every seashell they find at the beach.,xEffect
16553,PersonY is impressed with PersonX's performance.,xAttr
16554,"PersonX says, ""I need help!""",xNeed
16555,PersonX achieves their goal.,xWant
16556,PersonX senses danger.,oReact
16557,PersonX cries unto PersonY == PersonY comforts PersonX,xEffect
16558,foolhardy decisions,oWant
16559,PersonX reads online to stay informed.,xNeed
16560,PersonX heads home == relaxes after a long day.,xWant
16561,PersonX smiles brightly.,xWant
16562,PersonX pays tribute to the emperor to remain in power.,oWant
16563,to discuss potential changes with the team.,xNeed
16564,"Person X goes bird watching == ""Person X takes photos of different bird species.""",oWant
16565,PersonX loses the game.,xEffect
16566,PersonX chases the dog.,xWant
16567,PersonX helps PersonY prepare for the upcoming debate.,xEffect
16568,PersonX remains silent to not incriminate themselves.,xNeed
16569,PersonX posts engaging content on social media.,xEffect
16570,Uses powdered sugar instead.,xWant
16571,PersonX is happy that he completed the task.,xReact
16572,PersonX smiles and waves at PersonY.,xWant
16573,PersonY feels refreshed and ready to tackle the challenges ahead.,oWant
16574,PersonX arrives at the party.,xNeed
16575,Person X gets bitten by Person X's dog.,xEffect
16576,PersonX takes his wife out for a romantic dinner.,xWant
16577,PersonX reads aloud a children's book.,xNeed
16578,PersonX gets the mail == to see an important notice.,xIntent
16579,PersonX throws colorful visual aids upon the subject.,xWant
16580,PersonX invites friends to the party.,xEffect
16581,PersonX has to wait in a long line.,xNeed
16582,PersonX gets knowledge.,xEffect
16583,PersonY feels upset and lashes out.,oReact
16584,PersonX and PersonY come to a mutual agreement.,xReact
16585,PersonY feels betrayed and heartbroken.,oReact
16586,PersonX runs away to escape.,oWant
16587,PersonX follows PersonY's instructions.,xEffect
16588,PersonX starts exercising.,xWant
16589,PersonX keeps up with PersonY and arrives at the location.,xWant
16590,PersonX goes to take a hike.,xWant
16591,PersonX cooks scrambled eggs.,xIntent
16592,PersonY receives an award in recognition of their work.,xEffect
16593,PersonX spills the drink.,xAttr
16594,PersonY agrees to meet PersonX.,xNeed
16595,PersonX buys the tickets == Attends the concert.,xEffect
16596,PersonX successfully robs the bank.,xNeed
16597,PersonX starts practicing for a marathon.,xWant
16598,PersonX devotes PersonX's life to the cause.,xReact
16599,Person Y recovers quickly.,xWant
16600,PersonY says yes.,oEffect
16601,PersonX leaves a note on the table.,xNeed
